pH,E.C.,HCO3,Cl,NO3,SO4,TH,Ca,Mg,Na,K
7.9,192.0,98,14.0,0.26,3.7,100,24,9.7,2.7,0.53
8.0,63.0,24,7.1,0.31,3.3,30,8,2.4,0.09,2.0
8.0,92.0,49,5.3,0.16,3,50,16,2.4,0.34,0.1
7.8,691.0,366,28.0,38,12.1,340,56,48.6,9.5,17.0
7.9,159.0,85,7.1,0.94,4.5,65,24,1.2,8.9,0.6
7.9,162.0,73,14.0,3.5,4.1,70,16,7.3,8.1,1.1
7.9,99.0,43,11.0,0.49,3.1,50,12,4.9,1.5,1.1
7.9,476.0,256,21.0,2.1,14,180,36,21.9,32.0,10.0
8.0,335.0,201,7.1,7.6,5.5,180,40,19.5,1.3,1.7
7.9,209.0,122,7.1,0.43,5.6,105,24,10.9,4.2,1.3
7.8,215.0,104,14.0,6.9,8,85,28,3.6,14.0,2.5
7.9,115.0,37,12.0,4.9,8.1,40,12,2.4,8.2,1.9
7.8,367.0,232,7.1,0.71,4.6,200,40,24.3,0.43,0.8
7.95,365.0,220,11.0,1.18,4.5,200,40,24.3,0.4,0.68
7.9,460.0,281,11.0,0.74,6,250,44,34.0,0.5,1.0
8.0,124.0,55,7.1,3.3,5.8,40,8,4.9,11.0,1.9
7.9,368.0,220,11.0,0.63,3.7,200,36,26.8,0.31,0.53
